;Medellín;Bogotá;Cali;Barranquilla;Cartagena;Bucaramanga;Cúcuta;Manizales;Pereira;Armenia
Medellín;0;413;413;702;656;428;565;196;208;252
Bogotá;413;0;464;1004;1053;398;574;278;323;286
Cali;413;464;0;1110;1200;817;1103;229;208;179
Barranquilla;702;1004;1110;0;120;576;782;998;965;1023
Cartagena;656;1053;1200;120;0;511;707;938;917;974
Bucaramanga;428;398;817;576;511;0;194;495;526;583
Cúcuta;565;574;1103;782;707;194;0;692;717;774
Manizales;196;278;229;998;938;495;692;0;52;97
Pereira;208;323;208;965;917;526;717;52;0;48
Armenia;252;286;179;1023;974;583;774;97;48;0
